userId,id,title,completed,title_word_count,title_length_category,priority_score
1,1,delectus aut autem,False,3,Short,5
1,2,quis ut nam facilis et officia qui,False,7,Medium,10
1,3,fugiat veniam minus,False,3,Short,5
1,4,et porro tempora,True,3,Short,5
1,5,laboriosam mollitia et enim quasi adipisci quia provident illum,False,9,Long,5
1,6,qui ullam ratione quibusdam voluptatem quia omnis,False,7,Medium,10
1,7,illo expedita consequatur quia in,False,5,Medium,5
1,8,quo adipisci enim quam ut ab,True,6,Medium,5
1,9,molestiae perspiciatis ipsa,False,3,Medium,5
1,10,illo est ratione doloremque quia maiores aut,True,7,Medium,5
1,11,vero rerum temporibus dolor,True,4,Medium,5
1,12,ipsa repellendus fugit nisi,True,4,Medium,5
1,13,et doloremque nulla,False,3,Short,5
1,14,repellendus sunt dolores architecto voluptatum,True,5,Medium,5
1,15,ab voluptatum amet voluptas,True,4,Medium,5
1,16,accusamus eos facilis sint et aut voluptatem,True,7,Medium,5
1,17,quo laboriosam deleniti aut qui,True,5,Medium,5
1,18,dolorum est consequatur ea mollitia in culpa,False,7,Medium,10
1,19,molestiae ipsa aut voluptatibus pariatur dolor nihil,True,7,Long,5
1,20,ullam nobis libero sapiente ad optio sint,True,7,Medium,5
2,21,suscipit repellat esse quibusdam voluptatem incidunt,False,6,Long,5
2,22,distinctio vitae autem nihil ut molestias quo,True,7,Medium,5
2,23,et itaque necessitatibus maxime molestiae qui quas velit,False,8,Long,5
2,24,adipisci non ad dicta qui amet quaerat doloribus ea,False,9,Long,10
2,25,voluptas quo tenetur perspiciatis explicabo natus,True,6,Medium,5
2,26,aliquam aut quasi,True,3,Short,5
2,27,veritatis pariatur delectus,True,3,Medium,5
2,28,nesciunt totam sit blanditiis sit,False,5,Medium,10
2,29,laborum aut in quam,False,4,Short,5
2,30,nemo perspiciatis repellat ut dolor libero commodi blanditiis omnis,True,9,Long,5
2,31,repudiandae totam in est sint facere fuga,False,7,Medium,5
2,32,earum doloribus ea doloremque quis,False,5,Medium,10
2,33,sint sit aut vero,False,4,Short,5
2,34,porro aut necessitatibus eaque distinctio,False,5,Medium,10
2,35,repellendus veritatis molestias dicta incidunt,True,5,Medium,5
2,36,excepturi deleniti adipisci voluptatem et neque optio illum ad,True,9,Long,5
2,37,sunt cum tempora,False,3,Short,5
2,38,totam quia non,False,3,Short,10
2,39,doloremque quibusdam asperiores libero corrupti illum qui omnis,False,8,Long,5
2,40,totam atque quo nesciunt,True,4,Medium,5
3,41,aliquid amet impedit consequatur aspernatur placeat eaque fugiat suscipit,False,9,Long,5
3,42,rerum perferendis error quia ut eveniet,False,6,Medium,10
3,43,tempore ut sint quis recusandae,True,5,Medium,5
